time_s,relative_frequency_hz,linear_trend_hz,peak_to_local_median_db
1.5,0.07357596653818632,0.03156926240217217,20.671921644092723
1.75,0.04331825313768434,0.031518364426702306,20.623318498531404
2.0,0.035788143490187,0.031467466451225334,19.213409522590354
2.25,0.058365119791481845,0.03141656847575547,21.362572196477245
2.5,0.08073702855141818,0.0313656705002856,22.812744706962764
2.75,0.08417403546658875,0.03131477252481574,24.546022585247997
3.0,0.08201632848080465,0.03126387454934587,22.372655277283414
3.25,0.06230466784631972,0.031212976573876006,21.512845662801748
3.5,0.01089038719455715,0.03116207859840614,21.766344396047877
3.75,-0.027416813482659563,0.03111118062292917,22.963209754943627
4.0,-0.034111351610313534,0.031060282647459303,21.91298070518514
4.25,-0.013463749361420696,0.031009384671989437,20.289098611774282
4.5,0.0011307849128030512,0.03095848669651957,20.62616430547662
4.75,0.004976719465147994,0.030907588721049706,23.099579848083103
5.0,0.0019714066091296445,0.03085669074557984,21.170884094525757
5.25,0.0072340129239876205,0.030805792770109974,21.927798988096498
5.5,0.026478055050219496,0.030754894794633003,22.296212478722964
5.75,0.05641780389608897,0.030703996819163137,22.370668862518123
6.0,0.06620214717381145,0.03065309884369327,21.28175471739646
6.25,0.05384649030896327,0.030602200868223406,20.100042104946144
6.5,0.0337497567531031,0.03055130289275354,18.945430703202597
6.75,0.02989573171270621,0.030500404917283674,20.009097220815036
7.0,0.04165118836311876,0.03044950694181381,21.962808797451416
7.25,0.05161055124092684,0.030398608966343943,22.297450046184583
7.5,0.04267445227263522,0.030347710990866972,21.17087272080044
7.75,0.026454596531621632,0.030296813015397106,21.69886020692576
8.0,0.021235408620377427,0.03024591503992724,20.909414733566333
8.25,0.041681155809150994,0.030195017064457375,19.814280939300225
8.5,0.07965201575216696,0.03014411908898751,18.872097471340112
8.75,0.10949413439885092,0.030093221113517643,19.70100954949537
9.0,0.10681557053595725,0.030042323138047777,21.411591892474565
9.25,0.09123314077339728,0.029991425162570806,23.444791359854584
9.5,0.08010371201017108,0.02994052718710094,22.102565410444626
